RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022
394457,73,"Charleston, SC",msa,SC,1174.431772,1171.129476,1171.549218,1177.311341,1191.316613,1196.274266,1197.633826,1198.283001,1198.381006,1201.21833,1204.915344,1218.319727,1224.989477,1226.415257,1227.046319,1233.038265,1243.881712,1248.12569,1248.016423,1246.696555,1250.183468,1253.569873,1257.988717,1262.682877,1271.899141,1274.155156,1283.920012,1285.333912,1295.440128,1300.306695,1306.063173,1310.150208,1313.856291,1311.026327,1309.19591,1312.528902,1317.271758,1322.012573,1324.426514,1332.087068,1339.284555,1347.106901,1352.017806,1357.016921,1354.743338,1353.583619,1354.030124,1360.457842,1364.880717,1366.329625,1374.157852,1381.351931,1388.031437,1388.911434,1388.942799,1394.649135,1398.919482,1406.547188,1413.944381,1419.738842,1416.363572,1403.603608,1389.76826,1383.66779,1389.525521,1401.115705,1411.720052,1415.1612,1414.091031,1424.068923,1435.941001,1441.672589,1449.779362,1461.149485,1495.414314,1524.874725,1563.821569,1613.077377,1647.491803,1674.900216,1686.282591,1702.40931,1702.090626,1700.601622,1698.556837,1727.808672,1770.305156,1811.04082,1837.117959,1864.448342,1884.748737,1903.80531,1895.435967,1897.778466
394440,75,"Cape Coral, FL",msa,FL,1077.601027,1094.306608,1112.532738,1124.252338,1125.94909,1138.914456,1151.642909,1162.985279,1171.921174,1178.250308,1193.333442,1198.44641,1206.288999,1207.962495,1210.219251,1213.173547,1217.466327,1226.659986,1226.652141,1229.267524,1234.310719,1245.542953,1260.003515,1263.956768,1268.152305,1265.650292,1268.498691,1271.323731,1272.874741,1275.192666,1275.287839,1281.7296,1289.823588,1302.017523,1316.3937,1324.485599,1325.22565,1321.91805,1322.464504,1325.527497,1330.18354,1342.376409,1347.991993,1354.511554,1352.654678,1361.159719,1366.662011,1370.646834,1370.00745,1373.127609,1377.975624,1385.011552,1387.33846,1390.481192,1396.651164,1401.174226,1407.100621,1412.379312,1419.895023,1431.263147,1433.628598,1429.49828,1421.871409,1419.252994,1435.503537,1446.742218,1464.770709,1471.391223,1488.203844,1494.019379,1499.594569,1508.860387,1528.249152,1557.456615,1585.207071,1624.301777,1675.990034,1743.843555,1807.43139,1863.273309,1910.770625,1954.123999,1983.995025,1998.270314,2016.060303,2047.83433,2108.550179,2136.88566,2155.104421,2150.630517,2164.881774,2196.303602,2228.440272,2251.390062
394648,76,"Greensboro, NC",msa,NC,853.1616266,863.4168414,867.7663853,866.8154591,874.0662554,874.6876926,881.6284017,881.5473689,884.0776858,885.0388013,885.8413722,884.4654081,884.0121641,885.9780927,888.2512441,883.3472545,890.9866973,893.8776258,899.5740604,891.9159709,897.0454508,902.7723397,912.6943508,908.2756453,909.3701487,914.8238847,923.0162929,927.4682643,934.6311159,933.8629521,935.3148413,935.3614922,933.6280642,935.3030617,934.9160163,943.6434589,945.9071872,954.5176505,952.1029754,953.3929772,959.2544584,964.9036776,967.9069739,969.6430143,972.1564423,977.9058088,979.8320239,984.4517711,985.4870836,990.8571648,997.353029,1002.504611,1011.169886,1013.25108,1014.280303,1017.997256,1024.457896,1029.180233,1031.954081,1031.178647,1034.455096,1036.910175,1043.68292,1051.734901,1065.842114,1069.050893,1068.592303,1078.68769,1091.267532,1109.657595,1112.759633,1125.222659,1132.301122,1142.777774,1147.04618,1162.867993,1183.784945,1205.94167,1222.972774,1242.619048,1270.967164,1288.024197,1297.146823,1301.798944,1312.727284,1327.180839,1340.106729,1356.552628,1370.393662,1375.93184,1386.773118,1396.328864,1410.363309,1413.98113
394399,77,"Boise City, ID",msa,ID,919.5606439,920.9410344,921.3480129,923.7625126,925.2515632,938.8263868,942.6469022,950.4921259,954.7118105,959.3299788,962.2445007,967.816329,973.3409262,982.2172818,981.5152342,987.2143545,989.9582403,1007.741053,1011.209936,1018.286232,1017.729839,1022.952349,1027.429676,1035.216952,1041.282095,1049.938857,1053.009843,1059.841305,1061.973434,1078.819301,1085.4884,1092.206598,1097.533423,1103.953582,1109.851199,1118.168152,1122.327626,1126.939388,1129.360061,1141.379864,1152.668574,1167.881028,1172.882347,1177.725534,1189.575257,1197.383558,1208.725178,1210.790047,1216.76926,1223.748455,1232.475925,1243.297343,1245.664866,1254.569638,1256.133049,1264.328806,1269.522485,1277.135282,1289.999894,1294.966499,1302.333578,1293.721077,1295.51747,1289.169456,1300.780734,1314.397931,1336.301843,1356.200707,1381.740306,1413.768192,1438.22532,1462.82258,1480.941372,1518.314639,1557.628232,1597.542088,1627.606054,1657.128278,1670.920623,1670.29337,1674.710569,1681.453502,1705.589868,1711.315691,1727.961787,1741.841361,1764.222258,1779.230204,1781.738786,1783.774355,1777.634349,1765.010879,1752.813189,1751.615393
395134,78,"Stockton, CA",msa,CA,1309.374718,1324.78963,1331.632029,1339.615868,1339.065257,1354.52469,1362.767623,1380.598644,1383.626445,1393.22509,1402.228077,1417.462626,1427.552865,1437.15992,1439.812333,1456.507506,1466.992236,1475.260818,1483.784275,1495.139974,1509.607862,1526.529235,1537.151825,1544.290919,1540.501325,1555.077814,1561.888084,1573.883659,1582.654212,1602.897314,1618.237552,1620.614881,1615.692995,1623.272162,1637.488249,1647.259306,1654.51996,1662.840119,1673.019731,1678.750934,1685.902614,1697.971075,1705.336057,1710.37145,1717.484683,1723.035394,1731.618078,1729.158741,1739.895308,1750.440982,1759.039615,1766.873971,1773.719977,1781.39922,1782.706232,1789.597764,1799.976026,1821.714132,1842.405066,1856.573011,1858.18439,1854.418236,1853.115962,1853.558763,1860.795447,1877.131954,1892.511456,1909.041616,1925.834408,1966.377306,1996.336744,2008.944859,2031.258459,2056.994774,2124.381117,2162.934086,2197.259141,2203.551643,2212.848195,2219.795243,2217.180842,2227.310953,2247.837039,2280.447371,2303.541613,2329.762712,2340.876577,2341.070556,2329.244117,2324.468073,2323.730539,2318.220712,2334.214695,2329.591129
394484,79,"Colorado Springs, CO",msa,CO,1076.624951,1079.300181,1086.415732,1092.146947,1099.433503,1105.848524,1112.305497,1115.81381,1121.420791,1126.728663,1131.295534,1135.373741,1138.684344,1148.769292,1157.551122,1165.95989,1168.028586,1179.181554,1185.129507,1194.782394,1206.075522,1209.499566,1215.324988,1215.58869,1226.837208,1235.525695,1243.327038,1247.471047,1252.828563,1261.211291,1269.770376,1271.857233,1279.451127,1285.482693,1296.857263,1306.797143,1313.819355,1321.852979,1323.844255,1320.882865,1323.432457,1328.271931,1336.851668,1337.492019,1340.56791,1347.603396,1355.214303,1367.548376,1374.298366,1381.463273,1386.523315,1389.777038,1396.904884,1402.751184,1413.436367,1422.48447,1426.205772,1431.695934,1439.055856,1451.90526,1455.283507,1449.984082,1441.267584,1442.965319,1453.020412,1470.009371,1486.00127,1497.30881,1507.546294,1510.691984,1517.759477,1530.912297,1550.527515,1577.424063,1603.415652,1638.476038,1678.648116,1709.397257,1721.876186,1721.736677,1726.790081,1737.223587,1745.442334,1753.555615,1766.117352,1786.922427,1808.748405,1827.576086,1840.513808,1837.371387,1837.138291,1833.707293,1838.833199,1835.281597
394798,80,"Little Rock, AR",msa,AR,842.7654966,846.9195325,850.9285898,859.6719039,865.1540382,855.785185,851.6822074,846.5127959,845.2153662,845.3585598,852.7750531,854.5506637,856.7801701,851.9508192,853.3775308,859.7854588,866.2002731,863.6610148,857.569145,846.6429101,848.1963104,855.6355553,869.3745615,867.0851737,868.4129294,867.1924525,869.2966023,872.064966,875.0040501,875.1726548,876.0760826,868.5662794,869.0354077,868.2727906,878.0226517,874.6936678,876.2827988,874.8585148,877.8944492,879.4495008,883.6981051,883.4515774,888.4172466,886.0494632,887.4195628,887.7167784,890.9554467,889.4742982,893.7775303,896.1203157,901.0809206,909.3728989,916.2142246,912.0371813,906.8476986,901.780384,907.3753464,910.8482623,916.2400837,913.6795295,915.618715,913.6815013,918.2835335,922.7656951,932.4539529,941.2280799,947.9175729,952.5347964,954.7984586,960.844627,969.5134368,976.0674692,983.7243547,990.4723886,1000.565158,1010.759043,1027.1311,1046.271211,1059.387762,1063.341645,1071.620416,1080.622459,1085.324805,1081.47158,1083.009845,1090.6994,1101.543508,1109.966419,1116.370115,1118.844061,1123.392572,1131.272404,1143.091702,1143.65012
394766,81,"Lakeland, FL",msa,FL,1036.664712,1044.339041,1053.00957,1063.133187,1061.782032,1068.683965,1072.536151,1081.842756,1085.450581,1088.090548,1087.548935,1088.013178,1081.64321,1090.191826,1095.36466,1112.538775,1112.680908,1117.170942,1125.959732,1131.951277,1135.813204,1136.458856,1144.601179,1143.286506,1145.044406,1147.657688,1154.405034,1163.751812,1164.242512,1170.758904,1176.497525,1189.842008,1198.70603,1201.50421,1204.178435,1202.582894,1213.930472,1226.006153,1237.255438,1240.160637,1244.423757,1251.559346,1265.075192,1274.699539,1279.156896,1283.646985,1289.994738,1297.380598,1303.00121,1305.640023,1304.932777,1307.469594,1312.23914,1325.844374,1337.90442,1346.718321,1348.437228,1355.380956,1362.836248,1363.732924,1360.405009,1356.394215,1361.501673,1356.524663,1356.690297,1365.075973,1383.55884,1410.214722,1424.124189,1438.207087,1439.650876,1436.700116,1446.380202,1465.174253,1499.701767,1537.25704,1572.819869,1611.233262,1646.747548,1677.477259,1703.556018,1715.099126,1728.134278,1745.6908,1782.604566,1825.801934,1851.483698,1872.652387,1878.17164,1884.720321,1880.25557,1879.03313,1878.282707,1876.665655
394531,82,"Des Moines, IA",msa,IA,950.4950362,954.9458503,955.2459644,950.4861635,951.6249678,951.5893228,949.7062536,947.9299749,944.7427708,934.2347483,934.0934573,932.0303409,943.5543529,943.7666756,953.6689677,955.2550017,960.0818752,964.4828545,965.8477754,967.660776,967.2801514,961.8707538,960.6217203,961.3464106,968.5545819,971.9082718,976.343855,977.6323993,986.551172,987.8898288,984.57285,980.1364514,972.292906,974.4598728,962.5057162,970.2091119,972.4709793,985.9641174,988.1889558,990.1300515,999.4888321,1004.125665,1004.782688,996.356773,991.0972436,992.6465477,996.2480905,996.0196964,994.8683214,997.041744,1004.834408,1009.212964,1013.084347,1016.709364,1020.346193,1019.545406,1020.58467,1018.023836,1020.175074,1023.633111,1028.57523,1025.749976,1019.708811,1018.672673,1025.786399,1037.113571,1041.359074,1044.313049,1044.821366,1042.488089,1045.940354,1047.235495,1051.499958,1051.080359,1055.385459,1062.244877,1067.391319,1074.15665,1084.487372,1092.596375,1099.393734,1103.509284,1109.702213,1119.323213,1120.026674,1130.326084,1134.746206,1149.152752,1156.990409,1165.067095,1169.617288,1169.208047,1174.378314,1179.534889
394304,83,"Akron, OH",msa,OH,742.7141877,749.5118608,754.084673,752.3252757,751.6803197,755.8976402,755.6586592,762.0276691,764.8977767,768.8089604,764.118952,762.3791684,762.8672801,765.1071699,771.5414945,773.4491109,775.7392347,773.26128,776.2092806,780.6878443,783.1282904,781.292393,771.8924331,770.530169,776.8456462,786.7249903,796.5720593,793.2916111,794.7489921,790.9418671,797.3806765,798.5649972,797.2738205,793.5111218,792.23194,794.0151567,799.6391428,804.792793,808.8588964,808.8805573,810.6500454,810.6963471,812.357718,812.7700405,813.7886343,815.7964736,813.5825842,816.7670466,827.2261248,832.8215148,841.2902906,836.9929384,840.9837315,841.5075548,848.7212292,850.8479622,850.5751758,845.1289795,843.3518343,844.0095509,852.2327325,857.7522452,865.8563898,868.2371444,873.8771854,877.2744711,880.1241471,884.5159309,887.4912195,889.4539958,896.7938923,908.9975936,920.4509574,929.4654317,936.6109778,949.6589865,958.0506437,972.7462727,982.4437629,989.4551263,999.5051347,1006.121179,998.3891842,1005.40126,1019.226839,1054.180129,1054.526615,1064.718863,1070.881753,1081.031308,1089.88975,1100.111195,1112.706118,1122.543254
